True,Plant Name,Title,Description
0,African Milk Tree,ADDITIONAL CARE,Be sure to wear gloves when handling your euphorbia as it oozes a milky substance that is irritating to the skin and eyes if handled incorrectly.
1,African Milk Tree,FOOD,Fertilize once in the spring and summer with a cacti or succulent fertilizer.
2,African Milk Tree,HUMIDITY,Euphorbias do well in dry to average household humidity.
3,African Milk Tree,LIGHT,Your euphorbia needs bright direct light. This means a spot that gets 6 plus hours of direct sun per day.
4,African Milk Tree,TEMPERATURE,Your euphorbia prefers temperatures between 60-90°F.
5,African Milk Tree,TOXICITY,The euphorbias are toxic to humans and pets.
6,African Milk Tree,WATER,Water your euphorbia when the soil volume is 100% dry. Water thoroughly until it flows out of the drainage hole. Discard excess water to discourage root rot.
7,African Violet,ADDITIONAL CARE,Prune spent blooms to keep the plant looking its best with a pair ofPruning Scissors.
8,African Violet,FOOD,"Fertilize your plant every two weeks whenever the plant is actively growing with a fertilizer formulated for African violets, such as ourHouseplant Special Fertilizer."
9,African Violet,HUMIDITY,"While your African violet prefers a humid area, do not mist since this plant is susceptible to leaf rot. Instead, place it over a pebble tray or place a humidifier nearby."
10,African Violet,LIGHT,"Your African violet loves bright indirect sunlight. Try and place it somewhere that gets loads of daylight, but not somewhere the sun is directly beating down on it. Near an eastern window or a few feet back from a southern window are ideal spots for this plant. Yellowing leaves and a lack of blooms can mean not enough light, while sunburnt, bleached leaves point to too much light. If you are worried you do not have a spot with enough light, try aGrow Light."
11,African Violet,TEMPERATURE,The African violet will thrive in temperatures between 65-80°F.
12,African Violet,TOXICITY,Both the flowers and the leaves of an African violet are non-toxic to cats and dogs.
13,African Violet,WATER,"Waterwhen the soil volume is 25% dry. This plant likes to be kept moist but does not like to sit in soggy soil. Avoid getting the leaves wet, and the bottom-watering method is recommended. Place your plant in a sink filled with 2-4″ of water. Leave the plant to soak for up to 45 minutes. Test the top of the soil for moisture. If it still feels dry water a little from the top. When your plant’s soil is evenly damp, drain the sink/tub and allow the plant to rest while it drains thoroughly."
14,Agave Geminiflora,ADDITIONAL CARE,"You’ll notice your agave has fibrous, silvery hairs that curl back along the leaf margins. This is normal and no cause for concern. You can leave them as-is or prune them with sharp snips."
15,Agave Geminiflora,FOOD,Feed once in the summer with a cactus/succulent fertilizer at half strength. Always fertilize on damp soil. No fertilizer is needed in the fall and winter.
16,Agave Geminiflora,HUMIDITY,Your Agave Geminiflora does fine in household humidity and prefers drier air.
17,Agave Geminiflora,LIGHT,Your Agave Geminiflora needs bright direct light for 6-8 hours a day. You can find this in an unobstructed southern or western window.
18,Agave Geminiflora,TEMPERATURE,Your Agave Geminiflora prefers temperatures between 65-85°F.
19,Agave Geminiflora,TOXICITY,This plant is considered toxic to humans and pets if ingested.
20,Agave Geminiflora,WATER,Water only when 100% of the soil volume is dry. This succulent-like plant does not tolerate soggy soil. Always water thoroughly and discard any excess water in the saucer.
21,Aglaonema Red Vein,ADDITIONAL CARE,"Aglaonema prefers to be slightly root-bound and will not need to be repotted more than once every 2-3 years. Keep their glossy leaves clean by dusting regularly, which also helps prevent pests."
22,Aglaonema Red Vein,FOOD,Feed your Aglaonema monthly during the spring and summer months with a general-purpose houseplant fertilizer diluted to half strength. Feed once during the fall season. No fertilizer is needed during the winter months when growth naturally slows.
23,Aglaonema Red Vein,HUMIDITY,"Your Agaonema does well in average household humidity. However, if the air is very dry, it will appreciate the occasional humidity boost using a pebble tray or humidifier."
24,Aglaonema Red Vein,LIGHT,"Your Aglaonema prefers bright to medium indirect light, but can also adapt to low light. Prolonged exposure to direct light can burn the leaves. If you notice the coloration fading on your Aglaonema, try placing the plant in a brighter location with indirect light."
25,Aglaonema Red Vein,TEMPERATURE,Your Aglaonema prefers temperatures between 65-75°F. Avoid drafty areas and temperatures below 60°F.
26,Aglaonema Red Vein,TOXICITY,Your Aglaonema is toxic to humans and pets if ingested.
27,Aglaonema Red Vein,WATER,"Water your Aglaonema when 50% of the soil volume is dry. Water slowly, allowing it to soak into the soil, until liquid flows through the drainage hole at the bottom of the pot. Discard any water that has accumulated in the saucer."
28,Air Plant,ADDITIONAL CARE,"If your air plant is given correct care, it will eventually bloom. After it blooms, feel free to cut it off with a pair ofplant snips. After some time, you will also see new pups forming off of the mother plant. Eventually, the mother plant will die off. You can separate the pups or leave them as is."
29,Air Plant,FOOD,"During spring and summer, useair plant foliar sprayor soak in air plant water-dissolvable fertilizer while soak-watering. Use 1-2 times a month."
30,Air Plant,HUMIDITY,"Air plants prefer a humid environment. Adding a humidifier to their environment will help, or lightlymisting themin between watering waterings will benefit them."
